Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
11.16524	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	953.3102193423878	0.007990535687725172	5.515776662499999	1.525	0.0	0.0	0.0	0.0	
11.265395	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	987.3618582019416	0.28540755396339484	5.694154187500001	1.7625	0.0	0.0	0.0	0.0	
11.365528	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1021.420019661417	-0.14476763827990874	5.874614650000003	1.9	0.0	0.0	0.0	0.0	
11.465689	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1055.4731031009328	0.2198424514243323	6.045757937500003	1.95	0.0	0.0	0.0	0.0	
11.565836	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1089.5186828440662	-0.03424360828548911	6.218722250000006	1.85	0.0	0.0	0.0	0.0	
11.665966	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1123.5716952386658	0.08326267938192163	6.392604237500009	1.65	0.0	0.0	0.0	0.0	
11.766208	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1157.6229856398215	-0.12348026732566769	6.563141175000009	1.5875	0.0	0.0	0.0	0.0	
11.866749	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1191.6730006155776	0.09944108130714482	6.739874250000008	1.275	0.0	0.0	0.0	0.0	
11.96639	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1225.7208470298456	-0.07324207187365876	6.908633400000008	1.7625	0.0	0.0	0.0	0.0	
12.066738	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1259.7742924601246	0.17130724564866265	7.082061850000008	1.725	0.0	0.0	0.0	0.0	
12.166068	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1293.828681772861	0.1590457199790198	7.259167012500006	1.65	0.0	0.0	0.0	0.0	
12.300068	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1341.520741548529	-0.03407330931785519	7.427452475000009	1.7375	0.0	0.0	0.0	0.0	
12.367784	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1361.954108590353	0.015483690263618032	7.611670087500007	1.9	0.0	0.0	0.0	0.0	
12.468215	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1402.797367403849	-0.23689937976986414	7.7801105125000065	2.025	0.0	0.0	0.0	0.0	
12.568417	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1436.8331666301917	-0.13948837028325697	7.9531804125000045	1.5625	0.0	0.0	0.0	0.0	
12.668764	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1470.8902759482896	-0.0018868044350426848	8.130482500000005	1.875	0.0	0.0	0.0	0.0	
12.769662	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1504.9481735266477	0.20145016291986803	8.301335962500008	1.775	0.0	0.0	0.0	0.0	
12.868984	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1539.0015614443757	0.2961363889243323	8.465277887500006	1.75	0.0	0.0	0.0	0.0	
12.969303	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1573.069114365148	0.43493004754598413	8.639263262500009	1.7	0.0	0.0	0.0	0.0	
13.070904	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1607.1242310425023	0.06997935990647518	8.821503587500008	1.675	0.0	0.0	0.0	0.0	
13.169964	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1641.181171206038	0.2784252962904038	8.992305850000006	1.5125	0.0	0.0	0.0	0.0	
13.270167	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1675.2331619070815	-0.013467134234149827	9.17287503750001	1.6	0.0	0.0	0.0	0.0	
