Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current 	 Lift Position 	 Lift Rate
8.7716	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	-2.17E-04	2.32E-04	0	0	0	0	0	0	0	1.25	0	0
8.821958	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	-2.03E-04	9.14E-04	0	0	0	0	0	0	0	1.125	0	0
8.92697	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	-2.23E-04	-1.08E-04	0	0	0	0	0	0	0	1.125	0	0
9.024781	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	-2.50E-04	-1.08E-04	0	0	0	0	0	0	0	1.125	0	0
9.123071	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	1.420377327	-6.19E-04	0	0	0	0	0	0	0	1.125	0	0
9.223593	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	4.971354476	6.22E-05	0	0	0	0	0	0	0	1.125	0	0
9.323803	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	8.522311325	-0.00112992	0	0	0	0	0	0	0	1.125	0	0
9.424358	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	12.07330201	-1.08E-04	0	0	0	0	0	0	0	1.25	0	0
9.524448	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	15.62425886	6.22E-05	0	0	0	0	0	0	0	1.25	0	0
9.623928	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	19.17522924	-4.49E-04	0	0	0	0	0	0	0	1.25	0	0
9.724353	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	23.4364255	-9.60E-04	0	0	0	0	0	0	0	1.25	0	0
9.832773	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	26.98739926	-4.49E-04	0	0	0	0	0	0	0	1.25	0	0
9.932413	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	30.5383595	-2.78E-04	0	0	0	0	0	0	0	1.125	0	0
10.034052	0	0	0	0	0	0	0.75	2	0.75	0.25	1	0.5	34.08932988	-2.78E-04	0	0	0	0	0	0	0	1.125	0	0
10.137329	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	37.64032733	5.73E-04	0	0	0	0	0	0	0	1.125	0	0
10.235383	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	41.19128418	-4.49E-04	0	0	0	0	0	0	0	1.125	0	0
10.335292	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	44.74225456	6.22E-05	0	0	0	0	0	0	0	1.125	0	0
10.440603	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	49.00343729	-2.78E-04	0	0	0	0	0	0	0	1.125	0	0
10.535346	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	51.84417502	-0.00112992	0	0	0	0	0	0	0	1.25	0	0
10.63491	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	55.39515217	-6.19E-04	0	0	0	0	0	0	0	1.25	0	0
10.734603	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	58.94612594	-6.19E-04	0	0	0	0	0	0	0	1.25	0	0
10.835923	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	63.20725115	-0.00112992	0	0	0	0	0	0	0	1.125	0	0
10.93446	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	66.04802949	-4.49E-04	0	0	0	0	0	0	0	1.125	0	0
11.035128	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	70.30927311	6.22E-05	0	0	0	0	0	0	0	1.125	0	0
11.13479	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	73.86024349	-4.49E-04	0	0	0	0	0	0	0	1.125	0	0
11.235648	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	77.41120711	-2.78E-04	0	0	0	0	0	0	0	1.125	0	0
11.336082	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	80.96218088	2.32E-04	0	0	0	0	0	0	0	1.125	0	0
11.436224	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	84.51312081	-0.001300219	0	0	0	0	0	0	0	1.25	0	0
11.536318	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	88.06411826	2.32E-04	0	0	0	0	0	0	0	1.25	0	0
11.635926	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	91.61508864	-1.08E-04	0	0	0	0	0	0	0	1.25	0	0
11.736093	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	95.16607594	-6.19E-04	0	0	0	0	0	0	0	1.25	0	0
11.835629	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	98.71707	-9.60E-04	0	0	0	0	0	0	0	1.25	0	0
11.935009	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	102.2680269	-7.89E-04	0	0	0	0	0	0	0	1.125	0	0
12.035286	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	105.8189939	-6.19E-04	0	0	0	0	0	0	0	1.125	0	0
12.134743	0	0	0	0	0	0	0.75	2	0.75	0.25	1	0.5	109.3699338	-0.00112992	0	0	0	0	0	0	0	1.125	0	0
12.236308	0	0	0	0	0	0	0.75	2	0.75	0.25	1	0.5	112.9208703	-1.08E-04	0	0	0	0	0	0	0	1.125	0	0
12.335817	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	116.471834	-2.78E-04	0	0	0	0	0	0	0	1.125	0	0
12.436753	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	120.0228179	4.03E-04	0	0	0	0	0	0	0	1.25	0	0
12.536296	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	123.5737747	-4.49E-04	0	0	0	0	0	0	0	1.25	0	0
12.637873	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	127.1247282	-4.49E-04	0	0	0	0	0	0	0	1.25	0	0
12.736637	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	130.6756884	-7.89E-04	0	0	0	0	0	0	0	1.25	0	0
12.836972	0	0	0	0	0	0	0.75	2.125	0.875	0.25	1	0.5	134.2266419	-9.60E-04	0	0	0	0	0	0	0	1.25	0	0
13.068169	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	142.7489228	-1.08E-04	0	0	0	0	0	0	0	1.125	0	0
13.102527	0	0	0	0	0	0	0.75	2	0.875	0.25	1	0.5	144.1693238	-1.08E-04	0	0	0	0	0	0	0	1.125	0	0
