Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
10.515724	0.371875	0.371875	0.371875	-0.09296875	-0.09296875	-0.09296875	0.75	2.0	0.875	0.125	1.0	0.5	0.06983376948824228	0.2256856217306208	4.51851336250001	1.575	0.0	0.0	0.0	0.0	
10.616206	0.371875	0.371875	0.371875	-0.09296875	-0.09296875	-0.09296875	0.75	2.0	0.75	0.125	1.0	0.5	0.07534820821829921	0.0022533761949064873	4.693897350000008	1.65	0.0	0.0	0.0	0.0	
10.717573	0.371875	0.371875	0.371875	-0.09296875	-0.09296875	-0.09296875	0.75	2.0	0.75	0.125	1.0	0.5	0.060706189308062174	0.07020266428084398	4.88298530000001	1.7125	0.0	0.0	0.0	0.0	
10.816649	0.371875	0.371875	0.371875	-0.09296875	-0.09296875	-0.09296875	0.75	2.0	0.75	0.125	1.0	0.5	0.05556389061500297	-0.18524578717004886	5.047094087500011	1.425	0.0	0.0	0.0	0.0	
10.91708	0.371875	0.371875	0.371875	-0.09296875	-0.09296875	-0.09296875	0.625	2.0	0.875	0.125	1.0	0.5	0.061436937017075866	0.05436486029088863	5.228275587500014	1.7875	0.0	0.0	0.0	0.0	
11.017054	0.37031250000000004	0.37031250000000004	0.37031250000000004	-0.09257812500000001	-0.09257812500000001	-0.09257812500000001	0.625	2.0	0.875	0.125	1.0	0.5	0.07829488069307194	0.41199269232213864	5.395602225000011	1.6	0.0	0.0	0.0	0.0	
11.116487	0.37031250000000004	0.37031250000000004	0.37031250000000004	-0.09257812500000001	-0.09257812500000001	-0.09257812500000001	0.625	2.0	0.75	0.125	1.0	0.5	0.089364355248131	0.06083622106097791	5.567706125000011	1.675	0.0	0.0	0.0	0.0	
11.217041	0.37031250000000004	0.37031250000000004	0.37031250000000004	-0.09257812500000001	-0.09257812500000001	-0.09257812500000001	0.75	2.0	0.875	0.125	1.0	0.5	0.0981806910337312	0.28205458001745115	5.736526975000012	1.7125	0.0	0.0	0.0	0.0	
11.31652	0.37031250000000004	0.37031250000000004	0.37031250000000004	-0.09257812500000001	-0.09257812500000001	-0.09257812500000001	0.75	2.0	0.75	0.125	1.0	0.5	0.10403005579708605	0.009576231803165415	5.906514775000009	1.75	0.0	0.0	0.0	0.0	
11.416975	0.37031250000000004	0.37031250000000004	0.37031250000000004	-0.09257812500000001	-0.09257812500000001	-0.09257812500000001	0.75	2.0	0.875	0.125	1.0	0.5	0.08839002496944609	-0.1079300558642453	6.07704601250001	1.825	0.0	0.0	0.0	0.0	
