Time 	 TimeofDay 	 Disabled 	 Enabled 	 Auto 	 Teleop 	 FMS 	 MatchTime 	 Batt Volt 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Left Current 	 Lift Right Current 	 Lift Position 	 Lift Raw Rate 	 Lift Rate 	 Accel X 	 Accel Y 	 Accel Z 	 Accel Pitch 	 Accel Roll 	 Lift Stall IR 	 Raw RC Distance
4.749364	1428607981951	true	false	false	true	false	-1.0	12.548504829406738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	-0.0052376036992563615	0.002880433362093331	1.2087229652787107E-4	0.002880433362093331	1.2084506499136826E-4	0.0	0.0	0.0	-0.01718058482431918	0.0	0.0	-0.0078125	-0.99609375	-0.11328125	-94.48460600954463	-1.6705228408562165	0.4103026914596557	0.19106443166732784
4.949901	1428607982152	true	false	false	true	false	-1.0	12.554787635803223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7875	0.0051888918383141145	0.0038405778161244414	0.0010954551962178893	0.002880433362093331	1.2084506499136826E-4	0.0	0.0	0.0	-0.01718058482431918	0.0	0.0	-0.0390625	-0.96484375	-0.07421875	-96.98105740682982	-2.3240586694450487	0.6651815702438354	0.42965424976348865
5.106939	1428607982309	true	false	false	true	false	-1.0	12.561070442199707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3875	-0.012305997022857548	0.004800722270155552	0.0023234891079164906	0.002880433362093331	1.2084506499136826E-4	0.0	0.0	0.0	-0.01718058482431918	0.0	0.0	0.0078125	-0.99609375	-0.078125	-93.89012440406184	0.22761763631631388	0.8218099120407104	0.5055451046409606
5.276858	1428607982479	true	false	false	true	false	-1.0	12.548504829406738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4375	-0.022106785643972525	0.0038405778161244414	0.001213598168314243	0.002880433362093331	1.2084506499136826E-4	0.0	0.0	0.0	-0.01718058482431918	0.0	0.0	0.03125	-0.96875	-0.1015625	-96.16405244282883	-1.547973190381912	0.9280090820407104	0.5636367361375426
5.449505	1428607982651	true	false	false	true	false	-1.0	12.548504829406738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4125	-0.012669694215000542	0.004800722270155552	0.002343818120794592	0.002880433362093331	1.2084506499136826E-4	0.0	0.0	0.0	-0.01718058482431918	0.0	0.0	-0.0390625	-0.98828125	-0.03125	-90.91300286681543	0.905214186247139	1.0041308477157105	0.5978856927953552
5.655799	1428607982858	true	false	false	true	false	-1.0	12.548504829406738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3625	-0.013162394397623246	0.005760866724186662	0.003140252076326637	0.0038405778161244414	9.173544554563475E-4	0.0	0.0	0.0	-0.01718058482431918	0.0	0.0	0.05078125	-1.0234375	-0.0703125	-90.69586593950879	-0.46767520187869016	1.0583663558727106	0.6604300131354262
5.859713	1428607983062	true	false	false	true	false	-1.0	12.554787635803223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6125	-0.004190107059795979	0.0019202889080622207	-0.0015555144624284194	-9.601444540311104E-4	-0.003721002142005067	0.0	0.0	0.0	-0.00859029241215959	0.0	0.0	0.01953125	-0.98046875	-0.0703125	-93.23100990036822	-0.4594715224955335	1.1008895810931905	0.7133490055372573
6.069539	1428607983271	true	false	false	true	false	-1.0	12.548504829406738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4875	0.0034599863754350606	0.0038405778161244414	-0.0010326181882899007	0.0	-0.0028443220190772943	0.0	0.0	0.0	-0.00859029241215959	0.0	0.0	0.01171875	-0.9765625	-0.03125	-91.82554230732988	-0.22983555125996735	1.1547157733592976	0.6983890452111725
6.257802	1428607983460	true	false	false	true	false	-1.0	12.554787635803223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.625	-8.811553335182227E-4	0.002880433362093331	-9.8340836204869E-4	-9.601444540311104E-4	-0.0039036573354576825	0.0	0.0	0.0	-0.00859029241215959	0.0	0.0	0.0	-0.97265625	-0.03515625	-92.06175769075855	-0.0	1.1877485207846061	0.6620568581024782
6.460097	1428607983662	true	false	false	true	false	-1.0	12.535940170288086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4625	0.0172248956960391	0.0038405778161244414	-0.0011383227352683204	0.0	-0.0029281387078555635	0.0	0.0	0.0	-0.00859029241215959	0.0	0.0	0.0	-0.96875	-0.046875	-92.52949420483776	0.22983555125996735	1.2059109635118035	0.6281108989779138
6.646807	1428607983849	true	false	false	true	false	-1.0	12.561070442199707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3625	0.012980653301011447	0.002880433362093331	-0.0030816600244052464	-9.601444540311104E-4	-0.004844322268590459	0.0	0.0	0.0	-0.00859029241215959	0.0	0.0	-0.00390625	-0.984375	-0.03125	-91.36935944090719	-0.0	1.22783766123221	0.6178112663881926
