Time 	 TimeofDay 	 Disabled 	 Enabled 	 Auto 	 Teleop 	 FMS 	 MatchTime 	 Batt Volt 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Left Current 	 Lift Right Current 	 Lift Position 	 Lift Raw Rate 	 Lift Rate 	 Accel X 	 Accel Y 	 Accel Z 	 Accel Pitch 	 Accel Roll 	 Lift Stall IR 	 Raw RC Distance
4.990916	1428602515596	true	false	false	true	false	-1.0	12.334900856018066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	6.218664472257274E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05078125	-0.9765625	-0.0390625	-92.07003065304112	-2.527032751331468	0.48793941020965564	0.17999999999999997
5.109133	1428602515714	true	false	false	true	false	-1.0	12.322336196899414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	6.108792291459333E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046875	-0.9765625	-0.04296875	-92.299799421792	-2.7679699777692783	0.8055428983688353	0.29519999999999996
5.201852	1428602515807	true	false	false	true	false	-1.0	12.34118366241455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	6.348812101042437E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05078125	-0.97265625	-0.03125	-92.07837024536197	-2.7568887255954873	1.0115923339157102	0.368928
5.313563	1428602515920	true	false	false	true	false	-1.0	12.334900856018066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	6.543791550295281E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05078125	-0.9765625	-0.03515625	-92.50936473985172	-2.527459430428929	1.1450753007907102	0.41611391999999997
5.415134	1428602516020	true	false	false	true	false	-1.0	12.328619003295898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	6.748048300697645E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05078125	-0.97265625	-0.03515625	-92.74808818005376	-3.1899471853318286	1.23104150896571	0.44631290879999996
5.509126	1428602516114	true	false	false	true	false	-1.0	12.34118366241455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	6.968941049234626E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046875	-0.97265625	-0.03125	-92.29061004263853	-2.75642342945416	1.28630402282271	0.465640261632
5.624021	1428602516229	true	false	false	true	false	-1.0	12.334900856018066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	7.931207773870243E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046875	-0.9765625	-0.0390625	-92.50936473985172	-2.962960587058092	1.3213302348161902	0.47800976744448
5.731077	1428602516336	true	false	false	true	false	-1.0	12.34118366241455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	9.349401461355993E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05078125	-0.9765625	-0.0390625	-91.61030060249901	-2.988536228707076	1.3400360729920173	0.4859262511644672
5.823663	1428602516429	true	false	false	true	false	-1.0	12.347466468811035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	1.0455180124435693E-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04296875	-0.96484375	-0.0390625	-91.60386277115494	-2.527845659713487	1.3558652312995467	0.490992800745259
5.917748	1428602516523	true	false	false	true	false	-1.0	12.328619003295898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0125	1.1370340433081162E-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05078125	-0.9765625	-0.03515625	-92.299799421792	-2.9743252348792732	1.3691208926163654	0.49423539247696574
